name,date,high,low,close,volume
LiteCoin,2019-06-25,138.2245919,132.1225294,136.3361266,4034977538.0
LiteCoin,2019-06-26,138.4776422,130.0259699,132.5609333,4906069322.0
LiteCoin,2019-06-27,133.5648372,111.9944847,115.3304072,5931927104.0
LiteCoin,2019-06-28,122.0715653,114.5284539,120.6784473,5293645008.0
LiteCoin,2019-06-29,137.3673442,117.22988,135.5031975,4676104538.0
LiteCoin,2019-06-30,136.9352778,121.6439806,123.148752,5285499420.0
LiteCoin,2019-07-01,126.9517223,114.5238721,123.2452195,4864614608.0
LiteCoin,2019-07-02,123.8262086,113.4140455,118.3302471,4536087448.0
LiteCoin,2019-07-03,122.7390527,117.6432901,121.4064384,4112345819.0
LiteCoin,2019-07-04,126.4953577,119.1817157,120.2734972,4203035574.0
LiteCoin,2019-07-05,121.1021987,117.2902776,118.4997062,4062274581.0
LiteCoin,2019-07-06,121.1063669,117.6889581,118.549343,3635653138.0
LiteCoin,2019-07-07,120.2432276,117.5964632,120.2432276,3176399722.0
LiteCoin,2019-07-08,123.7503969,118.5728937,122.8562184,3278500103.0
LiteCoin,2019-07-09,123.9045408,118.3517934,119.3776589,4042310729.0
LiteCoin,2019-07-10,120.5116738,103.8741643,108.4372311,4065252104.0
LiteCoin,2019-07-11,108.4099473,96.91496267,102.6411939,4698796984.0
LiteCoin,2019-07-12,106.2562272,101.4460119,104.9927036,4319972830.0
LiteCoin,2019-07-13,105.0141652,98.54058734,101.1909071,3801491150.0
LiteCoin,2019-07-14,101.7738222,89.54681859,90.14536613,3798227907.0
LiteCoin,2019-07-15,92.39949228,86.58446977,90.63307879,3995065435.0
LiteCoin,2019-07-16,91.77332628,78.17827252,79.90272768,3536209310.0
LiteCoin,2019-07-17,92.87983321,77.72114648,89.43890928,4211770092.0
LiteCoin,2019-07-18,102.5640241,87.15334243,100.8329701,4872967708.0
LiteCoin,2019-07-19,101.0356485,95.42835328,98.1515611,4380230869.0
LiteCoin,2019-07-20,104.6670234,97.67188035,100.3996183,3656733503.0
LiteCoin,2019-07-21,101.1506707,96.81351066,99.71640066,3275220183.0
LiteCoin,2019-07-22,100.2973318,92.85231772,95.27197989,2953230489.0
LiteCoin,2019-07-23,95.34993825,89.07320535,90.70312159,2574574464.0
LiteCoin,2019-07-24,96.7667187,87.99778551,94.49320344,2845155620.0
LiteCoin,2019-07-25,96.07981687,92.31062284,93.16869914,2823104353.0
LiteCoin,2019-07-26,94.23742185,90.59403236,94.15147695,2341702809.0
LiteCoin,2019-07-27,95.28589016,87.81357924,88.63784748,2272389640.0
LiteCoin,2019-07-28,90.54314591,85.07058567,89.98363876,2278498721.0
LiteCoin,2019-07-29,91.39125056,88.32391042,90.55901618,2518526193.0
LiteCoin,2019-07-30,92.26697163,89.06349176,90.35327343,2280880133.0
LiteCoin,2019-07-31,99.43399322,90.11371844,98.79740702,2370296569.0
LiteCoin,2019-08-01,100.0351091,96.00495358,98.7297185,2768303088.0
LiteCoin,2019-08-02,98.64306139,93.17635848,94.78842523,2660301070.0
LiteCoin,2019-08-03,96.25098494,93.92475415,94.27014086,2557355336.0
LiteCoin,2019-08-04,94.6690515,91.15230845,92.98562178,2199892420.0
LiteCoin,2019-08-05,104.7242275,92.78626091,96.1833342,3065648131.0
LiteCoin,2019-08-06,98.66282658,91.35718799,93.31607645,3531718853.0
LiteCoin,2019-08-07,93.84574109,88.77212315,90.76248205,2959966748.0
LiteCoin,2019-08-08,91.67792775,88.46527803,90.42378717,3024847858.0
LiteCoin,2019-08-09,90.39363641,83.31326725,84.31268159,2864735320.0
LiteCoin,2019-08-10,87.31627213,83.13766021,85.67593617,3025203504.0
LiteCoin,2019-08-11,91.26206145,85.55862025,90.18776599,2898101074.0
