name,year,open,high,low,close,volume,market_cap
USD-Coin,2019,1.0041056940383561,1.159347727,0.948701986,1.0040331755726029,226280490222.128,366592096.29917806
USD-Coin,2020,1.0010878451666667,1.064519657,0.968419052,1.0010360428606557,195198257575.74,1417499208.9715846
USD-Coin,2021,1.0002292062328768,1.040195612,0.978139069,1.0002185264,1648984344045.4,19589931928.8
USD-Coin,2022,0.9999698630136987,1.48065,0.99885,0.9999658904109588,1675089755146.0,50337728310.24931
USD-Coin,2023,0.9998202739726026,1.025,0.88,0.9998932876712329,2014555107829.0,30946336041.136986
USD-Coin,2024,0.999972961076923,1.008003048,0.9969,0.9999696261339031,2063099586143.0,32788203213.917377
Uniswap,2020,3.5052730765,8.375836034,1.76692184,3.518269018,63326283967.9,571931741.5518868
Uniswap,2021,23.724603164873976,44.93,4.454464301,23.756881261249315,410068300692.0,11065553380.916712
Uniswap,2022,7.806006114526028,19.78546275,3.378925036,7.775284107164383,126735931909.43,5486660798.909589
Uniswap,2023,5.523942436320548,8.233789228,3.734903912,5.529121884942466,104183469798.5,3502355682.5041094
Uniswap,2024,8.731583569136752,19.3793,4.741182248,8.761522428207977,174206667666.14,5238010428.017094
Wrapped-Bitcoin,2019,7791.532573889552,14066.36403,3336.425057,7802.766356435821,184332966.92179,2078250.9707134329
Wrapped-Bitcoin,2020,11052.620843521858,29224.70538,4079.504161,11114.21616446448,19023940892.5827,579510634.6580901
Wrapped-Bitcoin,2021,47393.76341641096,68677.7486,28902.71405,47445.08677684931,114455099721.63,47369046168550.12
Wrapped-Bitcoin,2022,28271.80935827397,48130.82361,15507.083,28194.03301369863,93625801385.84,7365799956.345205
Wrapped-Bitcoin,2023,28730.805534301373,44612.95,16442.2882,28805.871498739725,50697261785.61,4816321765.542466
Wrapped-Bitcoin,2024,63758.25179190752,103059.0,38553.71,63941.55219653179,27483868033.162,9946416434.65896
filecoin,2020,29.838918449999998,75.38245867,20.04644374,29.33997706025974,18865444889.6,1035672812.6636364
filecoin,2021,69.65965751616437,236.16,20.91650676,69.70089968271233,407959071940.3,5918406987.036164
filecoin,2022,11.410253534013698,38.26434037,2.535858544,11.324411843279451,166556966558.35,2275942339.984658
filecoin,2023,4.603188037501369,9.386427826,2.944120142,4.614002521610959,165761499302.67,1912331640.6849315
filecoin,2024,5.486522762584046,11.7726,2.903454467,5.489192486760683,234327045526.5,3008900467.8290596
